               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.031877,             0.10291,           0.0039109,             0.88105,             0.54747,             0.64217,             0.47481,            0.029984,            0.073132,           0.0041945,            0.005347,            0.005347,            0.005347
                  49,            0.032166,            0.096627,           0.0037812,             0.90011,             0.54372,             0.66163,             0.48611,            0.029257,            0.071713,           0.0042562,            0.005248,            0.005248,            0.005248
                  50,            0.031649,             0.10142,           0.0039155,             0.82537,              0.5685,             0.67644,             0.48924,            0.030806,            0.072946,           0.0040952,            0.005149,            0.005149,            0.005149
                  51,            0.030847,            0.097399,           0.0037108,             0.87774,             0.52624,             0.65016,             0.47092,            0.030255,            0.076289,           0.0043038,             0.00505,             0.00505,             0.00505
                  52,            0.032492,              0.1031,           0.0038446,             0.78081,             0.62903,              0.6835,             0.51021,            0.029744,            0.071891,           0.0039885,            0.004951,            0.004951,            0.004951
                  53,            0.032049,             0.10098,           0.0036907,             0.88888,             0.54847,             0.66173,             0.49774,            0.029002,            0.070546,           0.0040826,            0.004852,            0.004852,            0.004852
                  54,            0.030619,            0.099424,           0.0040013,             0.91247,             0.55406,             0.68045,             0.50236,             0.02933,            0.070991,           0.0039575,            0.004753,            0.004753,            0.004753
                  55,            0.031023,            0.098088,           0.0040967,              0.9112,             0.54639,             0.64507,             0.48887,            0.028651,            0.070892,           0.0039988,            0.004654,            0.004654,            0.004654
                  56,            0.030945,             0.10104,           0.0034541,             0.84825,             0.53255,             0.64288,              0.4875,            0.029215,             0.07121,           0.0041807,            0.004555,            0.004555,            0.004555
                  57,            0.029896,            0.095467,           0.0033474,             0.76966,             0.54515,             0.61734,              0.4838,            0.028835,            0.067924,           0.0044372,            0.004456,            0.004456,            0.004456
                  58,            0.030021,            0.095086,           0.0037737,             0.90327,             0.55348,             0.64381,             0.49204,            0.028196,            0.067898,           0.0039419,            0.004357,            0.004357,            0.004357
                  59,            0.029991,             0.09624,           0.0032485,             0.94586,             0.54678,             0.64634,             0.49309,            0.028526,            0.070742,           0.0039438,            0.004258,            0.004258,            0.004258
                  60,            0.029635,            0.096087,           0.0036881,             0.89952,             0.55373,             0.65802,             0.50534,            0.028978,            0.071509,           0.0039774,            0.004159,            0.004159,            0.004159
                  61,             0.03113,            0.095044,            0.003722,             0.85852,             0.55872,             0.63564,             0.48122,            0.029027,            0.072417,           0.0040182,             0.00406,             0.00406,             0.00406
                  62,            0.028557,             0.09202,           0.0032063,             0.92971,             0.54867,             0.61054,             0.47767,            0.028365,            0.069933,           0.0040428,            0.003961,            0.003961,            0.003961
                  63,            0.028311,            0.098259,           0.0032637,             0.92043,             0.55311,             0.62146,             0.47722,             0.02831,            0.070195,           0.0038886,            0.003862,            0.003862,            0.003862
                  64,             0.02907,            0.090226,           0.0032068,             0.82459,             0.55154,             0.61058,              0.4739,            0.028231,            0.069242,           0.0040172,            0.003763,            0.003763,            0.003763
                  65,            0.028938,            0.094175,           0.0033627,             0.92094,             0.55337,             0.64061,             0.49509,            0.028542,             0.06801,           0.0039246,            0.003664,            0.003664,            0.003664
                  66,            0.028319,            0.094316,           0.0031709,             0.95606,             0.54164,             0.66082,             0.50758,            0.028325,            0.068567,             0.00383,            0.003565,            0.003565,            0.003565
                  67,            0.028396,            0.093674,           0.0031134,             0.77639,             0.60691,             0.65029,             0.50345,            0.028176,            0.067619,           0.0041293,            0.003466,            0.003466,            0.003466
                  68,            0.028741,             0.08977,           0.0032112,             0.88923,             0.54972,             0.66036,             0.50775,            0.027972,            0.067444,           0.0039806,            0.003367,            0.003367,            0.003367
                  69,            0.027959,            0.089957,           0.0032535,             0.93803,             0.54508,             0.67617,             0.53266,            0.027678,            0.067895,           0.0038396,            0.003268,            0.003268,            0.003268
                  70,            0.028812,            0.089139,           0.0033421,             0.92282,             0.54732,             0.65864,             0.51204,             0.02736,            0.067462,           0.0038142,            0.003169,            0.003169,            0.003169
                  71,             0.02816,            0.091878,           0.0031973,              0.9459,              0.5642,             0.69105,             0.54743,            0.027643,            0.065638,           0.0034947,             0.00307,             0.00307,             0.00307
                  72,            0.027859,            0.089262,           0.0033887,             0.96693,              0.5617,             0.69454,             0.52943,            0.027711,            0.066554,           0.0034461,            0.002971,            0.002971,            0.002971
                  73,             0.02757,            0.088876,           0.0031043,              0.9641,              0.5613,              0.6757,             0.53249,            0.027253,            0.064876,           0.0035118,            0.002872,            0.002872,            0.002872
                  74,            0.027734,            0.090988,           0.0030586,             0.96768,              0.5508,             0.67003,             0.53404,            0.027233,            0.066118,           0.0034994,            0.002773,            0.002773,            0.002773
                  75,            0.026902,             0.09133,            0.002878,             0.96026,             0.56007,             0.66849,             0.52654,            0.027416,             0.06719,           0.0034463,            0.002674,            0.002674,            0.002674
                  76,            0.026128,            0.082397,           0.0028476,             0.96824,             0.55952,             0.65799,             0.51924,            0.027433,            0.066761,           0.0034836,            0.002575,            0.002575,            0.002575
